(0, 1, 0)	2	0	827222	927444	56	56
(1, 0, 0)	1	0	968766	848493	65	64
(0, 2, 0)	2	0	797904	786251	45	45
(2, 0, 0)	2	0	806117	536883	37	37
(0, 3, 0)	2	0	441258	280847	30	30
(3, 0, 0)	1	0	750817	826555	51	50
(0, 4, 0)	1	0	343803	584079	32	31
(4, 0, 0)	1	0	547832	683489	43	42
(0, 5, 0)	2	0	841628	895102	67	67
(5, 0, 0)	1	0	921812	828458	56	55
(0, 6, 0)	1	0	430215	844751	33	32
(6, 0, 0)	2	0	872742	271431	25	25
(0, 7, 0)	1	0	278803	359131	26	25
(7, 0, 0)	2	0	423784	206403	28	28
(0, 8, 0)	2	0	834782	942560	53	53
(8, 0, 0)	2	0	903955	837447	47	47
(0, 9, 0)	1	0	444171	372607	30	29
(9, 0, 0)	2	0	260881	112740	21	21
(0, 10, 0)	1	0	215619	555946	21	20
(10, 0, 0)	2	0	783657	303320	26	26
(0, 11, 0)	1	0	87012	283037	13	12
(11, 0, 0)	2	0	690938	309406	23	23
(0, 12, 0)	1	0	301394	391967	28	27
(12, 0, 0)	2	0	519966	403071	35	35
(0, 13, 0)	1	0	542207	168753	43	42
(13, 0, 0)	2	0	81751	168287	27	27
(1, 2, 0)	2	0	915569	764762	37	37
(2, 1, 0)	1	0	846740	953918	46	45
(1, 3, 0)	2	0	618999	76304	14	14
(3, 1, 0)	2	0	895047	949694	56	56
(1, 4, 0)	1	0	893174	702964	43	42
(4, 1, 0)	1	0	332002	748413	21	20
(1, 5, 0)	1	0	929637	864679	47	46
(5, 1, 0)	2	0	864262	872225	41	41
(1, 6, 0)	2	0	556836	408396	13	13
(6, 1, 0)	2	0	941572	804060	37	37
(1, 7, 0)	1	0	732756	499461	31	30
(7, 1, 0)	2	0	701357	886012	42	42
(1, 8, 0)	1	0	678155	288206	21	20
(8, 1, 0)	2	0	130430	250014	11	11
(1, 9, 0)	1	0	924711	545019	46	45
(9, 1, 0)	2	0	199003	588280	19	19
(1, 10, 0)	1	0	701788	676257	26	25
(10, 1, 0)	2	0	896534	832415	39	39
(1, 11, 0)	1	0	881509	889035	40	39
(11, 1, 0)	2	0	797431	866203	35	35
(1, 12, 0)	1	0	868227	631138	43	42
(12, 1, 0)	2	0	394524	670780	27	27
(1, 13, 0)	1	0	794525	278298	38	37
(13, 1, 0)	2	0	189933	621430	26	26
(2, 3, 0)	2	0	549418	67602	13	13
(3, 2, 0)	2	0	973662	900136	86	86
(2, 4, 0)	1	0	819711	874283	50	49
(4, 2, 0)	2	0	406124	634058	28	28
(2, 5, 0)	1	0	790737	840474	35	34
(5, 2, 0)	2	0	862607	788874	41	41
(2, 6, 0)	2	0	527666	318493	12	12
(6, 2, 0)	2	0	962567	759862	42	42
(2, 7, 0)	1	0	753325	671985	39	38
(7, 2, 0)	2	0	671723	729332	40	40
(2, 8, 0)	1	0	658516	428804	23	22
(8, 2, 0)	2	0	128695	471222	11	11
(2, 9, 0)	1	0	785199	493577	40	39
(9, 2, 0)	2	0	624733	845873	68	68
(2, 10, 0)	1	0	682880	756833	26	25
(10, 2, 0)	2	0	382875	535252	15	15
(2, 11, 0)	1	0	776231	848730	36	35
(11, 2, 0)	2	0	766351	749755	31	31
(2, 12, 0)	1	0	817222	711368	53	52
(12, 2, 0)	2	0	577955	744931	38	38
(2, 13, 0)	1	0	705590	247619	33	32
(13, 2, 0)	2	0	121295	697113	31	31
(3, 4, 0)	1	0	518465	766431	37	36
(4, 3, 0)	2	0	374810	195007	20	20
(3, 5, 0)	1	0	587070	869197	49	48
(5, 3, 0)	2	0	651124	443488	22	22
(3, 6, 0)	1	0	376133	868963	34	33
(6, 3, 0)	2	0	643398	159423	24	24
(3, 7, 0)	1	0	94482	146327	11	10
(7, 3, 0)	2	0	500375	293384	31	31
(3, 8, 0)	1	0	381563	441896	22	21
(8, 3, 0)	2	0	272462	77329	18	18
(3, 9, 0)	1	0	523362	392068	34	33
(9, 3, 0)	2	0	244306	305420	21	21
(3, 10, 0)	1	0	184009	519861	22	21
(10, 3, 0)	2	0	380971	100245	16	16
(3, 11, 0)	1	0	392569	769923	30	29
(11, 3, 0)	2	0	346056	79887	18	18
(3, 12, 0)	1	0	373518	310914	25	24
(12, 3, 0)	2	0	202451	78866	17	17
(3, 13, 0)	1	0	172976	75908	23	22
(13, 3, 0)	2	0	83653	294481	29	29
(4, 5, 0)	2	0	635546	876264	34	34
(5, 4, 0)	2	0	485416	195594	13	13
(4, 6, 0)	1	0	518091	878178	35	34
(6, 4, 0)	2	0	696847	332782	27	27
(4, 7, 0)	1	0	431702	464845	35	34
(7, 4, 0)	2	0	433720	271326	26	26
(4, 8, 0)	1	0	440046	258215	20	19
(8, 4, 0)	2	0	991870	873324	69	69
(4, 9, 0)	1	0	332384	282185	24	23
(9, 4, 0)	2	0	494233	663501	37	37
(4, 10, 0)	1	0	288778	528318	19	18
(10, 4, 0)	2	0	404090	189713	17	17
(4, 11, 0)	1	0	129382	188456	18	17
(11, 4, 0)	2	0	344061	223081	19	19
(4, 12, 0)	1	0	167810	133558	21	20
(12, 4, 0)	2	0	311343	211267	26	26
(4, 13, 0)	1	0	478880	206815	44	43
(13, 4, 0)	2	0	66160	388246	24	24
(5, 6, 0)	1	0	746614	890967	33	32
(6, 5, 0)	2	0	814548	811212	28	28
(5, 7, 0)	1	0	774948	468467	34	33
(7, 5, 0)	2	0	661737	909262	44	44
(5, 8, 0)	1	0	819570	799271	37	36
(8, 5, 0)	2	0	210762	365041	13	13
(5, 9, 0)	1	0	902763	472821	36	35
(9, 5, 0)	2	0	381137	700341	33	33
(5, 10, 0)	1	0	673699	724184	23	22
(10, 5, 0)	2	0	227586	213970	17	17
(5, 11, 0)	1	0	878052	877180	40	39
(11, 5, 0)	2	0	349470	468811	24	24
(5, 12, 0)	1	0	761536	467738	40	39
(12, 5, 0)	2	0	523923	816036	26	26
(5, 13, 0)	1	0	648074	139875	30	29
(13, 5, 0)	2	0	171366	560607	31	31
(6, 7, 0)	1	0	619956	400490	24	23
(7, 6, 0)	1	0	620565	918631	38	37
(6, 8, 0)	1	0	766222	426799	17	16
(8, 6, 0)	2	0	273498	344041	18	18
(6, 9, 0)	1	0	846598	376360	31	30
(9, 6, 0)	2	0	379459	877716	38	38
(6, 10, 0)	1	0	382507	302789	18	17
(10, 6, 0)	2	0	283630	314826	15	15
(6, 11, 0)	1	0	685788	608429	29	28
(11, 6, 0)	2	0	474976	375220	20	20
(6, 12, 0)	1	0	690755	443777	25	24
(12, 6, 0)	2	0	200072	331902	18	18
(6, 13, 0)	1	0	720095	134149	31	30
(13, 6, 0)	2	0	124701	543582	22	22
(7, 8, 0)	2	0	680862	765731	46	46
(8, 7, 0)	1	0	711064	663610	41	40
(7, 9, 0)	2	0	333902	126594	25	25
(9, 7, 0)	1	0	205735	336952	26	25
(7, 10, 0)	1	0	326871	467526	18	17
(10, 7, 0)	2	0	230233	125379	15	15
(7, 11, 0)	1	0	135574	204787	16	15
(11, 7, 0)	2	0	341444	247502	18	18
(7, 12, 0)	1	0	221836	128657	16	15
(12, 7, 0)	2	0	606685	686625	52	52
